#r (a.u)	f1(r)	f2(r)	f3(r)	f4(r)
22.3	9.54017998500804E-09	-0.00230974036546078	-0.116608584761632	-0.257558180388873
22.4	8.67246021635444E-09	-0.00221786452904217	-0.114594481643792	-0.258725913840754
22.5	7.88350681692692E-09	-0.00212954965667187	-0.112605350838219	-0.259820703702987
22.6	7.16618445555487E-09	-0.00204466240214516	-0.110641205722193	-0.260843272351804
22.7	6.51400400427294E-09	-0.00196307417707305	-0.108702045643977	-0.261794361480556
22.8	5.9210624827087E-09	-0.00188466099319539	-0.106787856474856	-0.26267473106096
22.9	5.38199010494277E-09	-0.00180930330929529	-0.104898611148341	-0.263485158325642
23	4.89190368775024E-09	-0.00173688588259733	-0.103034270186595	-0.26422643677206
23.1	4.44636060176753E-09	-0.00166729762455936	-0.1011947822142	-0.264899375187763
23.2	4.04132010443588E-09	-0.0016004314609528	-0.0993800844593372	-0.265504796697062
23.3	3.67310892596127E-09	-0.00153618419615248	-0.0975901032425318	-0.266043537829022
23.4	3.33838452718385E-09	-0.00147445638150687	-0.0958247544530272	-0.266516447606802
23.5	3.03410757154027E-09	-0.00141515218772177	-0.0940839440129764	-0.266924386658229
23.6	2.75751355154951E-09	-0.00135817928114881	-0.0923675683295327	-0.267268226347567
23.7	2.50609002918946E-09	-0.00130344870388384	-0.0906755147350053	-0.267548847928361
23.8	2.27755011184667E-09	-0.00125087475756967	-0.0890076619152313	-0.267767141717276
23.9	2.06981485111449E-09	-0.0012003748908371	-0.0873638803262926	-0.267924006288777
24	1.88099410137027E-09	-0.00115186959027129	-0.0857440325997561	-0.268020347690528
24.1	1.70936924331154E-09	-0.00110528227480653	-0.0841479739365972	-0.268057078679356
24.2	1.55337687791699E-09	-0.00106053919347864	-0.0825755524899477	-0.268035117977619
24.3	1.41159650899554E-09	-0.00101756932643909	-0.081026609736874	-0.267955389549787
24.4	1.28273448968163E-09	-0.000976304289128107	-0.0795009808393256	-0.267818821899065
24.5	1.16561641574577E-09	-0.000936678239551014	-0.0779984949944461	-0.26762634738385
24.6	1.05917412370584E-09	-0.000898627788542993	-0.0765189757744194	-0.267378901553826
24.7	9.62436430586063E-10	-0.000862091912953877	-0.0750622414560279	-0.267077422505451
24.8	8.74519234057483E-10	-0.000827011871677353	-0.0736281053401076	-0.266722850256651
24.9	7.94620698839711E-10	-0.000793331124428677	-0.0722163760610799	-0.266316126140464
25	7.22010140474132E-10	-0.000760995253203129	-0.0708268578867455	-0.26585819221738
25.1	6.56023780521197E-10	-0.000729951886336042	-0.0694593510085236	-0.265349990706172
